,PrivCo_ID,profile_type,classification,status,PE_Backed,VC_Backed,year_founded,City,State,Country,Zip,Industry_PICS,Keywords,sic,naics,Company_Tags,fiscal_month,fiscal_day,Total_Round,index_total_funding,Latest_Valuation,Latest_Valuation_Year,1 Year Revenue Growth,3 Year Revenue Growth,1 Year Employee Growth,3 Year Employee Growth,2024 Revenue,2023 Revenue,2022 Revenue,2021 Revenue,2020 Revenue,2019 Revenue,2018 Revenue,2017 Revenue,2024 Employees,2023 Employees,2022 Employees,2021 Employees,2020 Employees,2019 Employees,2018 Employees,2017 Employees,2023 EBITDA,2022 EBITDA,2021 EBITDA,2020 EBITDA,2019 EBITDA,2018 EBITDA,2017 EBITDA,2023 EV,2022 EV,2021 EV,2020 EV,2019 EV,2018 EV,2017 EV,2023 Net Income,2022 Net Income,2021 Net Income,2020 Net Income,2019 Net Income,2018 Net Income,2017 Net Income
1555,1894684,Company,Private,Active,No,No,2019,Scottsdale,AZ,US,,Vehicle Manufacturers,,,,,12,31,0,,,,,,,,,435000,,,,,,,,2,,,,,,,25000,,,,,,,630000,,,,,,,17500,,,,,,
1556,1894685,Company,Private,Active,No,No,2017,Louisville,CO,US,,Software & Internet Services,Information Technology|Internet of Things|Software,,,,12,31,0,,19000000,2023,,,,,,2800000,,,,,,,,13,,,,,,,685000,,,,,,,19000000,,,,,,,480000,,,,,,
1557,1894705,Company,Private,Active,No,Yes,2017,Oakland,CA,US,94612,Software & Internet Services,"Artificial Intelligence|Big Data|Community|Computers|Data Collection|Environmental, Social and Governance|SaaS|Software|Transportation",,,VC Backed,12,31,3,56500000,150000000,2021,13.6364,12.6248,5,,,10000000,8800000,7350000,7000000,,,,,,,42,40,,,,,,,,,,,,,,,,,,,,,,,,
1558,1894781,Company,Private,Active,No,No,2017,New Orleans,LA,US,,Restaurants,Beverages|Food|Subscription|Tea,,,,12,31,0,,,,,,,,,205000,,,,,,,,2,,,,,,,30500,,,,,,,650000,,,,,,,21000,,,,,,
1559,1894825,Company,Private,Active,No,No,2018,Erie,PA,US,,Food & Beverage Producers,Alcohol|Software,,,,12,31,0,,2150000,2023,,,,,,1350000,,,,,,,,6,,,,,,,175000,,,,,,,2150000,,,,,,,125000,,,,,,
1560,1894848,Company,Private,Active,No,No,2018,Phoenix,AZ,US,,Telecommunication Services,Advertising|Digital Marketing|Direct Sales|E-Commerce|Sales,,,,12,31,0,,27500000,2023,,,,,,11500000,,,,,,,,49,,,,,,,3150000,,,,,,,27500000,,,,,,,2200000,,,,,,
1561,1894870,Company,Private,Active,No,No,2017,Chicago,IL,US,,Vehicle Manufacturers,Automotive|Autonomous Vehicles,,,,12,31,0,,2100000,2023,,,,,,1450000,,,,,,,,6,,,,,,,83000,,,,,,,2100000,,,,,,,58000,,,,,,
1562,1894880,Company,Private,Active,No,No,2017,San Francisco,CA,US,94111,Health Care Equipment,Apps|Artificial Intelligence|Diagnostics|Health Care|Medical Devices|Women-Founded,,,,12,31,0,,15000000,2023,-7.8947,,-10,,,5250000,5700000,,,,,,,18,20,,,,,,905000,1100000,,,,,,15000000,14500000,,,,,,630000,760000,,,,,
1563,1894936,Company,Private,Active,No,No,2018,Newport Beach,CA,US,,Investment Management & Financial Advisory,Banking|Cryptocurrency,,,,12,31,0,,3800000,2023,,,,,,1900000,,,,,,,,8,,,,,,,205000,,,,,,,3800000,,,,,,,145000,,,,,,
1564,1894950,Company,Private,Active,No,Yes,2018,New York,NY,US,11238,Food & Beverage Producers,Beverages|Delivery|Food|Food Processing,,,VC Backed,12,31,1,6000000,20000000,2021,9.0909,,,,,12000000,11000000,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,1894986,Company,Private,Active,Yes,Yes,2019,New York,NY,US,10017,Software & Internet Services,E-Learning|Enterprise Resource Planning (ERP)|Enterprise Software|Human Resources|Information Technology|Recruitment|Software|Talent Management|Training,,,PE Backed|VC Backed,12,31,4,44001000,133250000,2022,19.75,,191.6667,,,,9580000,8000000,,,,,,,175,60,,,,,,,,,,,,,,,,,,,,,,,,,
1566,1895011,Company,Private,Active,No,No,2018,New York,NY,US,10017,Advertising & Marketing,Advertising|Internet|Local Business|Loyalty Programs|Platform-as-a-Service (PaaS),,,,12,31,0,,3100000,2023,,,,,,2700000,,,,,,,,10,,,,,,,280000,,,,,,,3100000,,,,,,,195000,,,,,,
1567,1895085,Company,Private,Active,No,No,2017,Gastonia,NC,US,28054,Consumer Products,Sports,,,,12,31,0,,5400000,2023,55,,50,,,1550000,1000000,,,,,,,6,4,,,,,,290000,205000,,,,,,5400000,3200000,,,,,,200000,145000,,,,,
1568,1895190,Company,Private,Active,No,No,2018,Atlanta,GA,US,,Freight Transportation,Business-to-Business|Logistics|Supply Chain Management,,,,12,31,0,,30500000,2023,,,,,,44000000,,,,,,,,200,,,,,,,1300000,,,,,,,30500000,,,,,,,905000,,,,,,
1569,1895234,Company,Private,Active,No,No,2019,Los Angeles,CA,US,,Technology Services,Apps|Communications|Dating|Information Technology|Mobile,,,,12,31,0,,46500000,2023,,,,,,8650000,,,,,,,,38,,,,,,,2000000,,,,,,,46500000,,,,,,,1400000,,,,,,
1570,1895418,Company,Private,Active,No,No,2019,Claymont,DE,US,,Human Resources & Employment Services,Accounting|Business-to-Business|Customer Service|Graphic Design|Human Resources|Management Consulting|Virtual Assistant|Virtual Workforce|Web Design & Development,,,,12,31,0,,15500000,2023,,,,,,11500000,,,,,,,,52,,,,,,,980000,,,,,,,15500000,,,,,,,685000,,,,,,
1571,1895599,Company,Private,Active,No,No,2017,Ronkonkoma,NY,US,,Industrial Distributors,E-Commerce|Industrial|Manufacturing|Wholesale,,,,12,31,0,,2300000,2023,,,,,,2000000,,,,,,,,6,,,,,,,155000,,,,,,,2300000,,,,,,,110000,,,,,,
1572,1895735,Company,Private,Active,No,No,2018,Aliso Viejo,CA,US,,Entertainment,Content|Content Syndication|Digital Entertainment|Music,,,,12,31,0,,5950000,2023,,,,,,1900000,,,,,,,,6,,,,,,,190000,,,,,,,5950000,,,,,,,130000,,,,,,
